MethodName,Energy(J),Invocations,TotalTime(ms)
"jdk.internal.classfile.impl.DirectCodeBuilder.loadLocal",0.006847508,0,0.000
"java.io.RandomAccessFile.readBytes(byte[], int, int)",0.171187692,0,0.000
"java.util.regex.Pattern.<init>(java.lang.String, int)",0.013695015,0,0.000
"org.apache.maven.surefire.booter.CommandReader$CommandRunnable.run()",0.001671808,0,0.000
"java.security.SecureClassLoader.defineClass(java.lang.String, byte[], int, int, java.security.CodeSource)",0.178035199,0,0.000
"java.util.ServiceLoader$ProviderImpl.get()",0.013695015,0,0.000
"java.util.regex.CharPredicates.forUnicodeBlock(java.lang.String)",0.013695015,0,0.000
"org.apache.maven.surefire.shared.lang3.Strings.startsWith(java.lang.CharSequence, java.lang.CharSequence)",0.006847508,0,0.000
"org.apache.maven.surefire.api.booter.Shutdown.valueOf(java.lang.String)",0.006847508,0,0.000
"java.lang.Class.getMethodsRecursive(java.lang.String, java.lang.Class[], boolean, boolean)",0.027390031,0,0.000
"jdk.internal.classfile.impl.AbstractPoolEntry$Utf8EntryImpl.writeTo(jdk.internal.classfile.impl.BufWriterImpl)",0.006847508,0,0.000
"org.apache.maven.surefire.api.util.ReflectionUtils.loadClass(java.lang.ClassLoader, java.lang.String)",0.013695015,0,0.000
"java.util.jar.JarFile.getManifest()",0.013695015,0,0.000
"org.apache.maven.surefire.api.testset.RunOrderParameters.<init>(java.lang.String, java.io.File, java.lang.Long)",0.006847508,0,0.000
"org.apache.maven.surefire.booter.spi.AbstractMasterProcessChannelProcessorFactory$1.run()",0.000021590,0,0.000
"org.apache.maven.surefire.api.booter.ForkingReporterFactory.createTestReportListener()",0.006847508,0,0.000
"org.apache.maven.surefire.api.booter.DumpErrorSingleton.createDumpFile(java.io.File, java.lang.String)",0.006847508,0,0.000
"java.lang.invoke.InnerClassLambdaMetafactory.sanitizedTargetClassName(java.lang.Class)",0.006847508,0,0.000
"java.net.URL.openConnection()",0.006847508,0,0.000
"java.lang.invoke.BoundMethodHandle$Species_L.copyWithExtendL(java.lang.invoke.MethodType, java.lang.invoke.LambdaForm, java.lang.Object)",0.006847508,0,0.000
"java.net.URLStreamHandler.setURL(java.net.URL, java.lang.String, java.lang.String, int, java.lang.String, java.lang.String)",0.006847508,0,0.000
"org.apache.maven.surefire.booter.BooterDeserializer.getStartupConfiguration()",0.027390031,0,0.000
"java.lang.ClassLoader.getClassLoadingLock(java.lang.String)",0.000021590,0,0.000
"org.apache.maven.surefire.booter.ForkedBooter.createProviderInCurrentClassloader()",0.143797661,0,0.000
"java.util.ServiceLoader$ProviderImpl.newInstance()",0.013695015,0,0.000
"java.lang.System$1.defineClass(java.lang.ClassLoader, java.lang.Class, java.lang.String, byte[], java.security.ProtectionDomain, boolean, int, java.lang.Object)",0.013695015,0,0.000
"java.lang.Class.getConstructor",0.020542523,0,0.000
"java.io.FilterInputStream.<init>(java.io.InputStream)",0.006847508,0,0.000
"org.apache.maven.surefire.api.cli.CommandLineOption.fromStrings(java.util.Collection)",0.006847508,0,0.000
"java.io.FileInputStream.read(byte[], int, int)",0.001583818,0,0.000
"java.lang.ClassLoader.getNamedPackage(java.lang.String, java.lang.Module)",0.006847508,0,0.000
"jdk.internal.classfile.impl.DirectMethodBuilder.run(java.util.function.Consumer)",0.027390031,0,0.000
"org.apache.maven.surefire.api.util.ReflectionUtils.instantiateOneArg(java.lang.ClassLoader, java.lang.String, java.lang.Class, java.lang.Object)",0.123255138,0,0.000
"org.apache.maven.surefire.booter.ClasspathConfiguration.<init>(org.apache.maven.surefire.booter.PropertiesWrapper)",0.006847508,0,0.000
"jdk.internal.loader.Resource.cachedInputStream()",0.020542523,0,0.000
"jdk.internal.classfile.impl.StackMapGenerator.processMethod()",0.006847508,0,0.000
"java.util.zip.ZipFile.getZipEntry(java.lang.String, int)",0.006847508,0,0.000
"java.lang.ref.Reference$ReferenceHandler.run()",0.000355331,0,0.000
"java.lang.invoke.InvokerBytecodeGenerator$3.accept(java.lang.classfile.ClassBuilder)",0.006847508,0,0.000
"jdk.internal.classfile.impl.DirectMethodBuilder.withCode(java.lang.classfile.CodeModel, java.util.function.Consumer)",0.020542523,0,0.000
"java.lang.Class.enumConstantDirectory()",0.013695015,0,0.000
"java.lang.invoke.MethodHandle.asTypeUncached(java.lang.invoke.MethodType)",0.006847508,0,0.000
"org.apache.maven.surefire.api.util.internal.Channels.newChannel(java.io.InputStream, int)",0.006847508,0,0.000
"java.util.zip.ZipFile$ZipFileInflaterInputStream.fill()",0.184882707,0,0.000
"java.util.jar.Manifest.<init>(java.io.InputStream, java.lang.String)",0.013695015,0,0.000
"java.util.zip.ZipFile$ZipFileInputStream.<init>(java.util.zip.ZipFile, byte[], int)",0.006847508,0,0.000
"jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull(java.lang.String)",0.520469243,0,0.000
"org.apache.maven.surefire.junitplatform.JUnitPlatformProvider.<init>(org.apache.maven.surefire.api.provider.ProviderParameters, org.apache.maven.surefire.junitplatform.LauncherSessionFactory)",0.095865107,0,0.000
"java.lang.invoke.InnerClassLambdaMetafactory.spinInnerClass()",0.061627569,0,0.000
"org.apache.maven.surefire.api.testset.TestListResolver.<init>(java.lang.String)",0.034237538,0,0.000
"org.apache.maven.surefire.junitplatform.LauncherSessionFactory$$Lambda/0x0000000120057168.openSession",0.034237538,0,0.000
"jdk.internal.classfile.impl.DirectCodeBuilder.constantPool()",0.006847508,0,0.000
"java.lang.StringBuilder.append(java.lang.String)",0.006847508,0,0.000
"org.apache.maven.surefire.shared.lang3.JavaVersion.<clinit>",0.013695015,0,0.000
"java.lang.invoke.InnerClassLambdaMetafactory.<init>(java.lang.invoke.MethodHandles$Lookup, java.lang.invoke.MethodType, java.lang.String, java.lang.invoke.MethodType, java.lang.invoke.MethodHandle, java.lang.invoke.MethodType, boolean, java.lang.Class[], java.lang.invoke.MethodType[])",0.006847508,0,0.000
"java.util.jar.Manifest.read(java.io.InputStream, java.lang.String)",0.006847508,0,0.000
"org.apache.maven.surefire.shared.lang3.math.NumberUtils.toFloat(java.lang.String, float)",0.006847508,0,0.000
"java.lang.invoke.MethodHandles$Lookup.findStatic(java.lang.Class, java.lang.String, java.lang.invoke.MethodType)",0.006847508,0,0.000
"java.util.concurrent.Executors.newScheduledThreadPool(int, java.util.concurrent.ThreadFactory)",0.006847508,0,0.000
"jdk.internal.classfile.impl.DirectMethodBuilder.withCode(java.util.function.Consumer)",0.020542523,0,0.000
"jdk.internal.classfile.impl.Util.writeList(jdk.internal.classfile.impl.BufWriterImpl, jdk.internal.classfile.impl.Util$Writable[], int)",0.006847508,0,0.000
"jdk.internal.reflect.MethodHandleAccessorFactory.newConstructorAccessor(java.lang.reflect.Constructor)",0.006847508,0,0.000
"org.apache.maven.surefire.api.util.internal.Channels.newBufferedChannel(java.io.InputStream)",0.006847508,0,0.000
"java.lang.invoke.MethodHandle.asType(java.lang.invoke.MethodType)",0.006847508,0,0.000
"jdk.internal.classfile.impl.BufWriterImpl.grow(int)",0.006847508,0,0.000
"jdk.internal.classfile.impl.DirectCodeBuilder.build(jdk.internal.classfile.impl.MethodInfo, java.util.function.Consumer, jdk.internal.classfile.impl.SplitConstantPool, jdk.internal.classfile.impl.ClassFileImpl, java.lang.classfile.CodeModel)",0.020542523,0,0.000
"java.lang.invoke.InnerClassLambdaMetafactory.lambdaClassName(java.lang.Class)",0.006847508,0,0.000
"java.lang.invoke.Invokers$Holder.invokeExact_MT",0.123255138,0,0.000
"java.util.ServiceLoader$LazyClassPathLookupIterator.hasNextService()",0.034237538,0,0.000
"java.util.zip.Inflater.inflate(byte[], int, int)",0.034296198,0,0.000
"org.apache.maven.surefire.shared.lang3.JavaVersion.maxVersion()",0.013695015,0,0.000
"java.util.HashMap.calculateHashMapCapacity(int)",0.006847508,0,0.000
"org.apache.maven.surefire.booter.stream.CommandDecoder.toMessage(org.apache.maven.surefire.api.booter.MasterProcessCommand, org.apache.maven.surefire.api.stream.AbstractStreamDecoder$Memento)",0.000029330,0,0.000
"org.apache.maven.surefire.api.stream.AbstractStreamDecoder.read(java.nio.ByteBuffer, int, int)",0.001613148,0,0.000
"jdk.internal.classfile.impl.UnboundAttribute$AdHocAttribute.writeTo(jdk.internal.classfile.impl.BufWriterImpl)",0.006847508,0,0.000
"java.lang.Class.privateGetDeclaredConstructors(boolean)",0.020542523,0,0.000
"org.apache.maven.surefire.junitplatform.JUnitPlatformProvider.newFilters()",0.089017600,0,0.000
"java.util.concurrent.Executors$RunnableAdapter.call()",0.000021590,0,0.000
"java.lang.invoke.InnerClassLambdaMetafactory.methodDesc(java.lang.invoke.MethodType)",0.006847508,0,0.000
"java.lang.invoke.BoundMethodHandle$Species_LL.<init>",0.006847508,0,0.000
"java.lang.String.replace(char, char)",0.013695015,0,0.000
"org.apache.maven.surefire.booter.BooterDeserializer.deserialize()",0.061627569,0,0.000
"java.lang.reflect.Constructor.newInstanceWithCaller(java.lang.Object[], boolean, java.lang.Class)",0.123255138,0,0.000
"jdk.internal.reflect.DirectConstructorHandleAccessor.newInstance(java.lang.Object[])",0.116407630,0,0.000
"java.lang.reflect.Array.newArray",0.006847508,0,0.000
"jdk.internal.loader.BuiltinClassLoader.isSealed(java.lang.String, java.util.jar.Manifest)",0.006847508,0,0.000
"jdk.internal.classfile.impl.DirectMethodBuilder.with(java.lang.classfile.MethodElement)",0.006847508,0,0.000
"org.apache.maven.surefire.booter.ForkedBooter.main(java.lang.String[])",0.677903259,0,0.000
"java.lang.String.indexOf(int)",0.013695015,0,0.000
"jdk.internal.loader.URLClassPath$JarLoader.getResource(java.lang.String)",0.041085046,0,0.000
"java.lang.invoke.DirectMethodHandle$Holder.invokeStatic",0.075322584,0,0.000
"java.lang.reflect.Method.acquireMethodAccessor()",0.006847508,0,0.000
"org.apache.maven.surefire.api.testset.ResolvedTest.<init>",0.013695015,0,0.000
"java.io.RandomAccessFile.read(byte[], int, int)",0.171187692,0,0.000
"java.util.ServiceLoader$2.hasNext()",0.034237538,0,0.000
"jdk.internal.classfile.impl.BufWriterImpl.writeUtfEntry(java.lang.String)",0.006847508,0,0.000
"java.util.concurrent.ThreadPoolExecutor.runWorker(java.util.concurrent.ThreadPoolExecutor$Worker)",0.000262972,0,0.000
"java.lang.ClassLoader.defineClass(java.lang.String, byte[], int, int, java.security.ProtectionDomain)",0.178035199,0,0.000
"java.util.zip.ZipFile$Source.readFullyAt(byte[], int, int, long)",0.130102646,0,0.000
"java.lang.ref.Reference.waitForReferencePendingList",0.000355331,0,0.000
"java.util.concurrent.FutureTask.runAndReset()",0.000021590,0,0.000
"java.lang.ClassLoader.findBootstrapClassOrNull(java.lang.String)",0.027390031,0,0.000
"java.lang.invoke.MethodHandle.setAsTypeCache(java.lang.invoke.MethodType)",0.006847508,0,0.000
"java.util.regex.Pattern.compile(java.lang.String)",0.013695015,0,0.000
"jdk.internal.ref.CleanerImpl$PhantomCleanableRef.<init>(java.lang.Object, java.lang.ref.Cleaner, java.lang.Runnable)",0.006847508,0,0.000
"org.apache.maven.surefire.api.cli.CommandLineOption.valueOf(java.lang.String)",0.006847508,0,0.000
"java.util.ServiceLoader$1.hasNext()",0.034237538,0,0.000
"java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run()",0.000021590,0,0.000
"org.apache.maven.surefire.shared.lang3.SystemUtils.getOsNameMatches(java.lang.String)",0.013695015,0,0.000
"org.apache.maven.surefire.booter.PropertiesWrapper.getClasspath(java.lang.String)",0.006847508,0,0.000
"java.lang.invoke.LambdaForm.compileToBytecode()",0.006847508,0,0.000
"java.lang.invoke.BoundMethodHandle.<init>(java.lang.invoke.MethodType, java.lang.invoke.LambdaForm)",0.006847508,0,0.000
"jdk.internal.classfile.impl.DirectClassBuilder.build()",0.013695015,0,0.000
"java.lang.classfile.ClassBuilder.withMethodBody(java.lang.String, java.lang.constant.MethodTypeDesc, int, java.util.function.Consumer)",0.020542523,0,0.000
"org.apache.maven.surefire.api.stream.AbstractStreamDecoder.readMessageType(org.apache.maven.surefire.api.stream.AbstractStreamDecoder$Memento)",0.001613148,0,0.000
"java.lang.invoke.LambdaForm$MH/0x0000000120058000.invoke",0.102712615,0,0.000
"org.apache.maven.surefire.booter.ForkedBooter.run(org.apache.maven.surefire.booter.ForkedBooter, java.lang.String[])",0.677903259,0,0.000
"jdk.internal.classfile.impl.DirectMethodBuilder.with(java.lang.classfile.ClassFileElement)",0.006847508,0,0.000
"jdk.internal.classfile.impl.UnboundAttribute.writeTo(jdk.internal.classfile.impl.DirectMethodBuilder)",0.006847508,0,0.000
"org.apache.maven.surefire.api.booter.MasterProcessCommand.<clinit>()",0.006847508,0,0.000
"jdk.internal.classfile.impl.StackMapGenerator.<init>(jdk.internal.classfile.impl.LabelContext, java.lang.constant.ClassDesc, java.lang.String, java.lang.constant.MethodTypeDesc, boolean, jdk.internal.classfile.impl.RawBytecodeHelper$CodeRange, jdk.internal.classfile.impl.SplitConstantPool, jdk.internal.classfile.impl.ClassFileImpl, java.util.List)",0.006847508,0,0.000
"org.apache.maven.surefire.booter.spi.AbstractMasterProcessChannelProcessorFactory.<init>()",0.013695015,0,0.000
"java.lang.invoke.InnerClassLambdaMetafactory$6.accept(java.lang.Object)",0.006847508,0,0.000
"java.util.zip.InflaterInputStream.close()",0.006847508,0,0.000
"org.apache.maven.surefire.shared.lang3.SystemUtils.isOsNameMatch(java.lang.String, java.lang.String)",0.013695015,0,0.000
"java.net.URL.<init>(java.net.URL, java.lang.String, java.net.URLStreamHandler)",0.013695015,0,0.000
"java.lang.invoke.MethodHandles$Lookup.getDirectMethodForConstant(byte, java.lang.Class, java.lang.invoke.MemberName)",0.006847508,0,0.000
"java.util.concurrent.ConcurrentHashMap.addCount(long, int)",0.000021590,0,0.000
"sun.net.www.protocol.jar.Handler.parseContextSpec(java.net.URL, java.lang.String)",0.006847508,0,0.000
"java.lang.invoke.InvokerBytecodeGenerator$1.accept(java.lang.classfile.ClassBuilder)",0.006847508,0,0.000
"java.lang.invoke.MethodHandle.maybeCustomize()",0.006847508,0,0.000
"jdk.internal.ref.PhantomCleanable.<init>(java.lang.Object, java.lang.ref.Cleaner)",0.006847508,0,0.000
"java.util.jar.Manifest.<init>",0.006847508,0,0.000
"java.util.jar.Attributes.<init>()",0.006847508,0,0.000
