Method,SampleCount,TopSamples,EstTotalTimeMs,EstSelfTimeMs,EnergyJ
java.util.ArrayList.<init>,1,1,1000.000,1000.000,0.011205
org.noureddine.joularjx.TestWorkload.main,7,7,7000.000,7000.000,0.538182
java.lang.System.currentTimeMillis,1,1,1000.000,1000.000,0.025926
java.lang.ref.Reference.waitForReferencePendingList,1000,1000,1000000.000,1000000.000,2.543986
java.nio.charset.CoderResult.isUnderflow,1,1,1000.000,1000.000,0.011205
java.util.Formatter.parse,5,5,5000.000,5000.000,0.510434
jdk.internal.util.DecimalDigits.uncheckedPutCharLatin1,1,1,1000.000,1000.000,0.011205
java.util.ArrayList.grow,1,1,1000.000,1000.000,0.011205
java.io.FileOutputStream.writeBytes,1,1,1000.000,1000.000,0.018025
jdk.internal.misc.VM.isBooted,1,1,1000.000,1000.000,0.011205
java.lang.Thread.sleepNanos0,25,25,25000.000,25000.000,0.837651
java.lang.String.indexOf,2,2,2000.000,2000.000,0.022409
java.lang.String.valueOf,1,1,1000.000,1000.000,0.011205
java.lang.StringCoding.implEncodeAsciiArray,1,1,1000.000,1000.000,0.024445
java.lang.String.subSequence,2,2,2000.000,2000.000,0.035649
java.io.PrintStream.format,3,3,3000.000,3000.000,0.048336
java.util.ArrayList$Itr.<init>,1,1,1000.000,1000.000,0.011205
java.lang.Character.isUpperCase,1,1,1000.000,1000.000,0.011205
java.lang.ProcessHandleImpl.waitForProcessExit0,1000,1000,1000000.000,1000000.000,2.543986
org.noureddine.joularjx.TestWorkload.compute,10,10,10000.000,10000.000,0.112047
